ji	leftside	ji	leftside	tʰeŋ	dry	tʰur	sour	tʰum	hide
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
wat	angry (hear is bursting)	ði	water	rɐŋ	alive/be living	si	buffalo	rɐt	heavy
kʰuk	knee	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry	tʰuk	deep
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰur	sour	tʰuk	deep
we	mother	we	mother	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
kʰuk	knee	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
ko	thin	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
kʰə	laugh	kʰə	laugh	ni	laugh	kʰuk	knee	tʰok	fast/quick
lo	shadow	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
tʰeŋ	dry	tʰur	sour	tʰar	new	tʰum	hide	kʰum	back
ki	bite	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰur	sour
ðar	sister (younger than male ego)	ðar	sister (younger than male ego)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
ke	head	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
wu	go	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
wat	angry (hear is bursting)	ði	water	rɐŋ	alive/be living	si	buffalo	rɐt	heavy
kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
ʃu	dove	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest	tʰeŋ	dry
wat	angry (hear is bursting)	lwe	forget	ði	water	rɐŋ	alive/be living	si	buffalo
ðar	sister (younger than male ego)	ðar	sister (younger than male ego)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
kʰur	anus	wat	angry (hear is bursting)	lwe	forget	ði	water	rɐŋ	alive/be living
tʰar	new	wat	angry (hear is bursting)	lwe	forget	ði	water	si	buffalo
kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry	tʰur	sour
pot	soft	kʰuk	knee	tʰok	fast/quick	tʰak	kick	tʰɐk	lung/chest
no	child	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
we	eat (fruit)	kʰuk	knee	tʰok	fast/quick	tʰɐk	lung/chest	tʰeŋ	dry
vu	father-in-law	vu	father-in-law	kʰuk	knee	tʰak	kick	tʰɐk	lung/chest
