ji	leftside	ji	leftside	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
we	mother	we	mother	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
ko	thin	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
kʰə	laugh	kʰə	laugh	ni	laugh	pʰi	calf (of leg)	kʰu	chin
lo	shadow	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
ki	bite	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
ðar	sister (younger than male ego)	ðar	sister (younger than male ego)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
ke	head	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
wu	go	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
ʃu	dove	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
ðar	sister (younger than male ego)	ðar	sister (younger than male ego)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
kʰur	anus	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
tʰar	new	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pot	soft	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
no	child	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
we	eat (fruit)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
vu	father-in-law	vu	father-in-law	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
kop	shoot	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
vu	grandfather	vu	grandfather	vu	grandfather	pʰi	calf (of leg)	kʰu	chin
ru	untie	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
tʰɐ	bile	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
rɐk	louse	rɐk	louse	rɐk	louse	pʰi	calf (of leg)	kʰu	chin
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
ðar	sister (younger than male ego)	ðar	sister (younger than male ego)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
kʰuk	knee	kʰuk	knee	kʰuk	knee	pʰi	calf (of leg)	kʰu	chin
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
sɐ	scoop out	sɐ	scoop out	sɐ	scoop out	pʰi	calf (of leg)	kʰu	chin
kwi	twenty	kwi	twenty	kwi	twenty	pʰi	calf (of leg)	kʰu	chin
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
sɐ	die	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
li	squirrel	li	squirrel	li	squirrel	pʰi	calf (of leg)	kʰu	chin
rɐ	bone	rɐ	bone	rɐ	bone	pʰi	calf (of leg)	kʰu	chin
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
fu	elephant	fu	elephant	fu	elephant	fu	elephant	pʰi	calf (of leg)
tɕe	burn	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
kon	cross	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
nwe	near	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
fu	bamboo	fu	bamboo	fu	bamboo	pʰi	calf (of leg)	kʰu	chin
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
sɐ	blood	sɐ	blood	sɐ	blood	pʰi	calf (of leg)	kʰu	chin
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
ʃe	emerge	ʃe	emerge	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
vu	father-in-law	vu	father-in-law	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
vɐn	flower	vɐn	flower	vɐn	flower	pʰi	calf (of leg)	kʰu	chin
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
tɕe	burn	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
mɐk	eye	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
car	white	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰo	branch	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
sor	old	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
rɐt	heavy	kʰə	heavy	kʰə	heavy	pʰi	calf (of leg)	kʰu	chin
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
nɐ	breast	nɐ	breast	nɐ	breast	pʰi	calf (of leg)	kʰu	chin
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
hwi	dog	hwi	dog	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
rɐ	intestines	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
ruk	six	ruk	six	ruk	six	pʰi	calf (of leg)	kʰu	chin
we	mother	we	mother	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
u	bird	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
ʃa	clan	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
ðar	uncle (fathers older brother)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
kwe	horse	kwe	horse	kwe	horse	kwe	horse	kwe	horse
pi	leech	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
rop	rib	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
kʰə	laugh	kʰə	laugh	ni	laugh	pʰi	calf (of leg)	kʰu	chin
kwe	break	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
tʰar	clean	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
vu	uncle (mothers brother)	hi	uncle (mothers brother)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
ðar	uncle (fathers older brother)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
sɐ	comb	sɐ	comb	sɐ	comb	pʰi	calf (of leg)	kʰu	chin
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
ʔi	I	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
ða	fall (from a height)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
nam	smell	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
we	eat (fruit)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
rɐŋ	alive	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
ðar	sister (younger than male ego)	ðar	sister (younger than male ego)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
mɐt	squeeze	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
ðar	sister (younger than male ego)	ðar	sister (younger than male ego)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
pwe	fly	pwe	fly	pwe	fly	pʰi	calf (of leg)	kʰu	chin
ke	cold	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	foot	pʰi	foot	pʰi	foot	pʰi	calf (of leg)	kʰu	chin
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
li	tongue	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
ðɐ	grandchild	ðɐ	grandchild	ðɐ	grandchild	pʰi	calf (of leg)	kʰu	chin
tsɐ	horn	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
ʔu	he/she	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
a	come	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
sɐ	blood	sɐ	blood	sɐ	blood	pʰi	calf (of leg)	kʰu	chin
ðar	uncle (fathers older brother)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
tʰeŋ	dry	tʰeŋ	dry	tʰeŋ	dry	pʰi	calf (of leg)	kʰu	chin
tʰeŋ	dry	tʰeŋ	dry	tʰeŋ	dry	pʰi	calf (of leg)	kʰu	chin
rɐ	medicine	ʔa	medicine	ʔa	medicine	pʰi	calf (of leg)	kʰu	chin
ʃit	eight	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
ði	egg	ði	egg	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
lɐŋ	root	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
ðar	uncle (fathers older brother)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
vu	great grandfather	vu	great grandfather	vu	great grandfather	vu	great grandfather	pʰi	calf (of leg)
kʰum	back	kʰum	back	kʰum	back	pʰi	calf (of leg)	kʰu	chin
se	thorn	se	thorn	se	thorn	pʰi	calf (of leg)	kʰu	chin
ðɐk	black	ðɐk	black	ðɐk	black	pʰi	calf (of leg)	kʰu	chin
kʰɐ	insect/bug/vermin	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
ðar	sister (younger than male ego)	ðar	sister (younger than male ego)	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
nɐ	two	nɐ	two	nɐ	two	pʰi	calf (of leg)	kʰu	chin
luŋ	stone	luŋ	stone	luŋ	stone	pʰi	calf (of leg)	kʰu	chin
pim	needle	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
vu	grandfather	vu	grandfather	vu	grandfather	pʰi	calf (of leg)	kʰu	chin
rɐt	heavy	kʰə	heavy	kʰə	heavy	pʰi	calf (of leg)	kʰu	chin
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
ði	water	ði	water	ði	water	ði	water	ði	water
kwe	horse	kwe	horse	kwe	horse	kwe	horse	kwe	horse
pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget	ði	water
tʰɐt	kill	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
so	long	pʰi	calf (of leg)	kʰu	chin	wat	angry (hear is bursting)	lwe	forget
