pû	crawl
kxɯ̂	grasshopper
mó	mouth
kxû	foot
sxɯ̃̀ə	husked rice
bṍ	uterus
lỳ	buffalo
sə́	do (v.)
mɯ̂ə	brother-in-law
lú	buy
tó	weave
mûə	itch
ɬí	far
kí	ascend/climb
txɯ̂	fat
zúə	sister, younger  of male
t͡sô	cry (v.)
t͡sý	water
ɕŷ	tempt
má	goat
t͡ɕʰỳ	hide (something)
sý	wash (clothes) (v.)
pvɯ́	grandfather, paternal
sɯ̃̀ə	sweet
tõ̂	weave
sú	scoop out
sí	flesh
tõ̂	weave
sxɯ̂ə	very cold
kʰɹ̥ɯ̀e	intestine
zà	spear
psɯ́n	clothing
t͡sý	water
ɕí	thick
r̥ɯ̃̀ə	headlouse
nỳ	laugh
sê	thorn
xû	pig
kxû	foot/leg
zɯ́	black
kûe	horse
kù	scratch
nə̀	nose
pzɯ́	grandmother
zɯ̃̀ə	suck
sú	exit (v.)
tʰûə	uncle, wife of older paternal
kõ̀	back
tʰɯ́	sour
kù	twenty
zi	eat (rice; v.)
pv	maternal grandfather
kxùi	bee
nɯ̀	child
kùe	crooked
t͡sỳ	egg
nã̂	2sg
t͡ɕɯ̂ə̃	mosquito
kɯ̂ə	shoot
t͡sɯ̃́ə	marrow
pû	belly
hõ	yawn (v.)
kɕíe	frog
rù	bone
sɯ̃̀ə	long
pvɯ́	grandfather, paternal
r̥ɯ́	heavy
kù	twenty
jàu	sheep
mý	cloud
pzɯ	maternal grandmother
mɯ̃́ə	lost
hê	leech
lɯ́	eagle
sɯ́	mortar
kɕìe	knife
psɯ̂	cloth
pvɯ̀	pig, female
na	stick (v.)
t͡ɕɯ	deer (generic)
t͡sɯ̀	fear (v.)
sxã̀	penis
sɯ́	chili pepper
t͡ɕî	bad character
tʰá	kick (v.)
pzɯ́	give (v.)
xû	call
kíe	break (v.)
zŷ	mouse
só	able
kùe	crooked
r̥ɯ́	not heavy
pvɯ́	grandfather, paternal
mɯ̀	person
kfɯ̀	anus
bó	buttocks
t͡sý	grandchild
txúə	full, be
kûe	horse
sú	scoop out
sxùŋ	day
t͡sɯ́	salt
ǹ	water
kfɯ̀	anus
xúə	start (v.)
pʰr̻í	beautiful
xɯ̀	rough
mɯ̀	cat
kfɯ̂	smoke
lỳ	buffalo
pî	father
χõ̂	cook (v.)
lyî	roll
xû	pig
ŋõ̀	bear
mi	wound
kúə	strong
kxɯ́	grasshopper, giant
mɯ̃̀ə	ripe
pɯ́ə	flower
psɯ́	wash (clothes) (v.)
pɯə	mushroom species
mɯ̂	eye
mâ	tail
txûə	To awake, be (v.)
ɲùe	pus
là	exist (v.)
pɯ̃̀ə	light (weight)
rá	twist/squeeze (v.)
kũ̀	year
sù	tie (v.)
lâ	soil
ŋì	five
kɕì	chin
tõ̂	weave
mə́	dream (n.)
hã́	look (v.)
kʰâ	breath
txṍ	three
zõ̀	monkey
tuə	younger maternal aunt
dí	arrive (v.)
xúi	skin
pə́	left hand
zé	walk (v.)
pʰṍ	conceive
χà	shout
kʰí	bitter
dû	brain
r̥ɯ̂	rope
t͡ɕʰúə	sick, be
tχɯ̃́ə	dry
tʰùə	new
t͡ɕʰî	seed
kúe	copulate (v.)/have intercourse
ɕì	cattle
sxã̂	swallow
prie	fly (v.)
trú	six
mùə	sister-in-law
mẽ́	price
kʰə	fall (v.)
nə́	seven
t͡ɕʰû	lung
kɕì	chin
tχâ	fruit
t͡sʰɯ̀	numb, be
sî	body
pr̥ɯ̂	wash (legs) (v.)
nə́	seven
búʔ	burst (v.)
psɯ́n	clothing
dà	elephant
sɯ̃̀ə	bracelet
xɯ̀	light (n.)
t͡ɕúŋ	many
t͡ɕʰûə	burning
rû	1pl
kɕì	chin
ɕí	one hundred
mɯ	3sg
t͡ɕʰî	seed
bɯ̂ə	bat
ɕì	tooth
t͡sỳ	egg
ɬxɯ̂	scales (of fish)
ŋûə	fry (v.)
hẽ́	curry
ŋɯ̂ə	wait
dí	arrive (v.)
t͡sʰɯ̀	To die (v.)
zɯ̀	kiss (v.)
sxú	open
ʑì	accept (v.)
rã̂	land/country
sú	exit (v.)
kṍ	river
kxùə	dirty
sxã́	husband
ká	bite
ŋõ̀	bear
tχɯ̃́ə	dry
pû	swell
cuə	sambhur/sambar
pû	belly
ɕĩ̂	song
zá	snail
t͡sʰɯ̀	To die (v.)
xúi	late
tʰɯ̃̀ə	clean
r̥í	daughter in law
líe	forget (v.)
ʑì	palm
sxɯ́	blink (v.)
mɯ̃̀ə	name
nɯ	mother-in-law
kxr̥ì	toast (v.)
dû	brain
lỳ	fall (v.)
ná	hurt
t͡ɕʰû	lung
sɯ́	bamboo
zỳ	sit (v.)
kú	nine
lùo	words/speech
pɕí	seek/search
kûə	head
pɕí	slap (v.)
prie	fly (v.)
ɕì	hot
dũ̂	descend (v.)
kʰí	bitter
ná	stick
t͡sɯ́	salt
xúe	ginger
lũ̀	warm
mã̀	drink (v.)
ɹɯ́	snake
kʰõ	neck
lũ̀	heart
kxùi	bee
kúə	hair
làm	fathom
r̥ɯ̂	rope
bzɯ̂	To sleep (v.)
kɕí	cough
lé	arrow
t͡sô	cry (v.)
kʰə́	lift up
xui	wither
nâ	two
ka	kidney
tûə	uncle, father's younger brother
zî	eat (v.)
ɕí	hair of the head
dà	elephant
kṍ	river
kxɯ̂	grasshopper
lùŋ	termite
t͡ɕʰɯ̂ə	like
pá	right hand
ɕì	axe
zɯ̃̀ə	suck
kʰí	bitter
pʰṍ	pregnant, be
t͡sʰɯ̂	liver
zɯ̀	kiss (v.)
ɬî	shadow
sɯ̃̂ə	house
hè	six
ká	cut wood (v.)
kfɯ	hand
tûə	aunt, wife of father's younger brother
zɯ̀ə	cooked rice
lù	vomit (v.)
pv	father-in-law
zi	eat (rice; v.)
t͡sɯ̀	fear (v.)
ŋìe	freshwater eel
ʔy	dog
sɯ̂	blood
pé	fart
nõ̀	smell/sniff (v.)
tó	weave
mɯ́ə	rub (v.)
kxɯ́	grasshopper, giant
tʰi	resemble/be like
n	bird
t͡sɯ̂	bile
ɕì	cattle
tuə	younger maternal aunt's husband
ʔy	dog
ɕúe	wind
sú	brush teeth (v.)
r̥ɯ́	heavy
bɯ̂ə	bat
t͡sý	saliva
sŷ	exchange
r̥ɯ̃̀ə	headlouse
ʔy	dog
tχa	see/know
kvɯ̂	porcupine
tɯ́ə	green
pɯ̀ə̃	arm
ɕì	cattle
ɕỳ	rot
tá	slow
nî	ear
tsɯ	antler (of deer)
kə́	root
t͡sỳ	spit (v.)
t͡ɕʰûə	burning
ɹɯ̂e	war
txṍ	three
kɯ̂ə	shoot
tõ̀	carry on head
tî	bird
zû	breast
lê	star
le	1sg:refl
kẽ́	cross
líe	easy/cheap
nɯ̃̂ə	mind
zû	breast
hê	leech
cɯ	deer (generic)
rɯ̃́ə	finger
zɯ̃́ə	sky
sã	road/path
lũ̀	heart
kfɯ̂	smoke
lũŋ	stone
r̥ɯ̀ə̃	alive, be (v.)
kʰɹ̥ɯ̀e	intestine
lɯ́	eagle
ljá	four
kɕíe	crab
lɯə̃	placenta/afterbirth
tuə	older maternal aunt
ʔõ̂	pot
sɯ̀	dove
tí	sharpen knife
r̥ɯ̀ə̃	alive, be (v.)
dɯ̂ə	break (v.)
nə̀	leaf
lũ̂	slingshot
kxùi	bee
sɯ̃̀ə	sweet
pʰɬìe	navel
sɯ́	bamboo
ká	kidney
ǹ	blood
pa	side (left)
kɯ́	roast/dry (v.)
kuə	pestle
má	fire
kúə	mortar
cɯ	deer (generic)
t͡ɕɯ̃́ə	moon
bò	shrew
kʰl̥â	squirrel
kɬì	untie/loose (v.)
cuə	be sick/ill
luə	field
sã́	right hand
tʰú	deep
ŋî	fish
tʰùə	drive (v.)
mìe	face
rũ̀	add together
tʰɯ́ə	fast
tʰú	deep
t͡ɕî	necklace
ɹ̥ɯ̀ə	flea
tʰûə	uncle, older paternal
sú	exit (v.)
tã́	house lizard
bɯ̂ə	bat
ka	kidney
mé	banana
bzɯ̂	To sleep (v.)
kûe	horse
zỳ	sell
ɕì	axe
pʰùŋ	moutain
kʰl̥â	squirrel
hé	ten
hê	leech
kúə	bone
tʰa	kick the foot (v.)
hẽ́́	expect (v.)
bṍ	uterus
tʰá	kick (v.)
zù	nurse/suckle
nɯ̃́ə	think (v.)
tʰɯ́m	tree
kɕì	jaw, lower
ŋie	want/desire
ɹɯ́	snake
kʰr̥ɯ̀e	large intestine
mà	brother, older  of female
li	tongue
nâ	two
ljá	four
ŋì	five
ɕíe	vagina
nỳ	laugh
mà	comparative degree
pû	swell
prí	fly (v.)
lũŋ	stone
pχá	thigh
kxú	deaf
tûə	uncle, father's younger brother
kɕí	phlegm
zì	chase
ká	bite
nɯ	mother-in-law
txûə	To awake, be (v.)
tʰuo	stand up
kfɯ	hand
túə	small
zõ̀	monkey
t͡sý	grandchild
t͡sɯ́	horn (of an animal)
sə̀	bad character
lɯ́ə	lick (v.)
pvɯ̂	thumb
kʰr̥û	throat
zã́	enter (v.)
zám	urine
pí	smal intestine
zɯ́	wet
pɯ́ə	flower
t͡ɕʰùə	dig
prɯ̃̀ə	needle
sxũ̀	closed
ɹɯ́	snake
bíe	defecate (v.)
psɯ́	hit (v.)
kxû	foot
kfɯ̂	village/state
rɯ́ə	ribcage
pɕí	seek/search
ɬxɯ̂	scales (of fish)
t͡ɕʰê	hungry for rice, to be (v.)
bã̂	basket, head
pʰè	soft
ɕxɯ̃̀ə	sharp
pi	brother of male (younger)
ʔùə	chicken
ɕí	eight
sɯ̀	dove
lɯ	snail
lɯə̃	placenta/afterbirth
lɯ	snail
nù	shake something
t͡sý	saliva
dé	cut meat (v.)
t͡ɕʰɯ̃̀ə	wing
zɯ́	black
xû	pig
pʰũ	carry (on shoulders)
tsɯ́	touch (v.)
xúi	skin
kxɯ̂	grasshopper
kú	nine
t͡ɕʰŷ	wash (hands) (v.)
t͡sɯ́	horn (of an animal)
ʔâ	1sg
sê	thorn
t͡sɯ́	comb
t͡sɯ́	comb
tʰé	kill (v.)
bɯ̃̀ə	shoulder/arm
ɕúe	wind
