rik	medicine
tsejʔ	eight
rɐŋ	alive; be living
vɐŋ	flower
roʔ	weaver
kʰuʔ	smoke
juŋ	urine
luŋ	heart
reʔ	tie
sik	comb
vuk	grandfather/father-in-law
je	night
tsik	horn
huʔ	pig
tse	eat
luŋ	stone
kow	grasshopper
tʰɐn	liver
tʰo	clean
ruk	egg
tsej	sharp
tso	enter
vue	leftside
lik	armpit hair
kɐŋ	horse
se	body hair
moʔ	eye
pʰik	clothes
ni	five
vuk	father-in-law
sik	eleven
rɐŋ	snake
mow	itchy
so	swallow
ju	monkey
sam	hair (head)
leʔ	lick
we	axe
juʔ	rat/rodent
nej	pus
ko	strong
tʰow	awaken
si	long
wuk	thumb
ke	descend/come down
vue	leftside
ʃe	thorn (prick)
sik	comb
kej	cross
tsoʔ	wash
lu	tongue
ku	nine
tʰɐŋ	hide
ke	open the mouth
kaʔ	shoot
tik	be numb/ be paralyzed
rɐŋ	snake
rwe	axe
kʰi	lift up
roʔ	weave
ke	far
mi	rice field/swidden/upland field
tsow	tall
rɐŋ	snake
lu	earth/ground/dry land (vs. water)
tse	eat
muʔ	cow
kej	kidney
rɐŋ	guts/intestine
kɐŋ	horse
kik	four
rejʔ	heavy
vuk	grandfather/father-in-law
wuʔ	belly (exterior)
ruk	egg
kejʔ	cut
lo	fall
kʰe	bitter
lu	brain
ni	five
tʰow	fat
lu	buffalo
tsik	fear
tuʔ	deep
tik	die; be dead
mu	3sg
ku	bark
ram	otter
lu	squirrel
tsik	afraid
tsaʔ	weep
luk	daughter
ruʔ	six
kʰe	chin
nej	twist/knead
ku	bark
tsɐŋ	sky
hɐm	Tibetan/Himalayan bear (Selenarctos thibetanus)
wi	bamboo
tsaʔ	weep
wuʔ	belly
tik	die; be dead
pej	fly
hwi	late
juŋ	piss/urine
tsik	salt
luŋ	stone
ni	five
hɐm	bear
pem	needle
tʰɐm	three
huk	dog (Canis familiaris)
jam	run/flee
ʔu	I
kə	blow
ruk	bone
mu	cloud
jɐŋ	wrong
tʰu	fruit
tʰɐŋ	tree
tuʔ	deep
vue	left hand
pu	full/complete
r	axe
vɐm	body
ruk	water
ram	otter
pej	easy
